hostname;mainIp;cpu;ram;hd
bv2150478;bv2150478;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.24 GB
bv2150516;bv2150516;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.47 GB
bv2150521;bv2150521;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.76 GB
bv2150526;bv2150526;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.24 GB
bv2150527;bv2150527;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.16 GB
bv2150532;bv2150532;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.47 GB
bv2150554;bv2150554;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;N/A
BV2150568;BV2150568;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;536.47 GB
bv2150578;bv2150578;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.23 GB
BV2150579;BV2150579;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;7.9 GB;704.12 GB
bv2150590;bv2150590;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.48 GB
BV2150591;BV2150591;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;232.88 GB
BV2150592;BV2150592;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.48 GB
bv2150595;bv2150595;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;6.0 GB;237.92 GB
BV2150614;BV2150614;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.48 GB
bv2150618;bv2150618;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;1168.74 GB
bv2150619;bv2150619;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.23 GB
bv2150633;bv2150633;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.18 GB
bv2150638;bv2150638;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;252.94 GB
BV2150648;BV2150648;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
bv2150650;bv2150650;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.68 GB
bv2150661;bv2150661;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;1169.99 GB
BV2150662;BV2150662;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.48 GB
bv2150669;bv2150669;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.12 GB
bv2150677;bv2150677;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.48 GB
BV2150685;BV2150685;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.23 GB
BV2150686;BV2150686;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.42 GB
BV2150697;BV2150697;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;1635.10 GB
BV2150698;BV2150698;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.19 GB
bv2150752;bv2150752;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.47 GB
bv2151312a;bv2151312a;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.00 GB
bv2151315;bv2151315;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.20 GB
BV2151332;BV2151332;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.42 GB
BV2151336;BV2151336;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.42 GB
BV2151347;BV2151347;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;536.51 GB
bv2151348;bv2151348;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.20 GB
BV2151356;BV2151356;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.48 GB
BV2151364;BV2151364;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.43 GB
bv2151365;bv2151365;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.43 GB
BV2151366;BV2151366;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.43 GB
bv2151369;bv2151369;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.43 GB
bv2151373;bv2151373;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.22 GB
BV2151374;BV2151374;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.36 GB
BV2151377;BV2151377;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.43 GB
bv2151397;bv2151397;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.47 GB
BV2151400;BV2151400;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;702.94 GB
bv2151401;bv2151401;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;890.48 GB
bv2151402;bv2151402;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.14 GB
bv2151405;bv2151405;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;689.12 GB
bv2151406;bv2151406;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.47 GB
