hostname;mainIp;cpu;ram;hd
BV2154542;BV2154542;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.44 GB
BV2154543;BV2154543;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
bv2154544;bv2154544;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.00 GB
BV2154545;BV2154545;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.00 GB
BV2154546;BV2154546;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.25 GB
BV2154547;BV2154547;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.00 GB
bv2154548;bv2154548;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;222.87 GB
BV2154549;BV2154549;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;238.45 GB
bv2154550;bv2154550;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.81 GB
BV2154551;BV2154551;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;931.24 GB
bv2154552;bv2154552;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;447.02 GB
BV2154554;BV2154554;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
BV2154556;BV2154556;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;447.02 GB
BV2154557;BV2154557;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.00 GB
BV2154558;BV2154558;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
bv2154559;bv2154559;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
BV2154560;BV2154560;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.44 GB
BV2154561;BV2154561;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.63 GB
BV2154562;BV2154562;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
BV2154563;BV2154563;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.33 GB
BV2154564;BV2154564;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
BV2154565;BV2154565;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.44 GB
BV2154566;BV2154566;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;447.00 GB
bv2154567;bv2154567;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.44 GB
BV2154568;BV2154568;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.00 GB
BV2154569;BV2154569;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.00 GB
BV2154570;BV2154570;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.43 GB
BV2154571;BV2154571;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;238.34 GB
BV2154572;BV2154572;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.44 GB
BV2154573;BV2154573;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.35 GB
BV2154574;BV2154574;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;476.83 GB
BV2154575;BV2154575;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.00 GB
BV2154577;BV2154577;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.01 GB
bv2154578;bv2154578;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.44 GB
bv2154579;bv2154579;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV2154580;BV2154580;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.36 GB
BV2154581;BV2154581;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;703.98 GB
BV2154582;BV2154582;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
BV2154583-1;BV2154583-1;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.00 GB
BV2154584;BV2154584;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
BV2154585;BV2154585;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.36 GB
bv2154586;bv2154586;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;465.64 GB
BV2154587;BV2154587;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;223.45 GB
BV2154588;BV2154588;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.10 GB
BV2154589;BV2154589;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.81 GB
BV2154590;BV2154590;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
bv2154591;bv2154591;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;703.98 GB
BV2154595;BV2154595;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.36 GB
BV2154596;BV2154596;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.44 GB
BV2154598;BV2154598;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
BV21546;BV21546;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;N/A
BV2154601;BV2154601;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.27 GB
bv2154603;bv2154603;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;1396.17 GB
BV2154611;BV2154611;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;942.43 GB
BV2154612-1;BV2154612-1;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
BV2154613;BV2154613;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.35 GB
bv2154614;bv2154614;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;930.68 GB
BV2154617;BV2154617;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;942.44 GB
BV2154618;BV2154618;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.63 GB
BV2154619;BV2154619;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;703.97 GB
BV2154620;BV2154620;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
BV2154621;BV2154621;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.63 GB
BV2154623;BV2154623;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.36 GB
BV2154624;BV2154624;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.10 GB
BV2154625;BV2154625;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.02 GB
BV2154626;BV2154626;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
BV2154628;BV2154628;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;223.44 GB
BV2154629;BV2154629;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.46 GB
bv2154630;bv2154630;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;476.81 GB
BV2154631;BV2154631;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.25 GB
BV2154632;BV2154632;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.63 GB
bv2154634;bv2154634;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;465.62 GB
BV2154637;BV2154637;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;476.81 GB
BV2154638;BV2154638;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.63 GB
bv2154640;bv2154640;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.51 GB
BV2154641;BV2154641;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.44 GB
bv2154643;bv2154643;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;465.65 GB
bv2154644;bv2154644;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;465.64 GB
bv2154645;bv2154645;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;942.42 GB
bv2154646;bv2154646;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.35 GB
BV2154647;BV2154647;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
BV2154648;BV2154648;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.25 GB
BV2154651;BV2154651;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.27 GB
BV2154657;BV2154657;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;476.82 GB
bv2154664;bv2154664;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.62 GB
BV2154665;BV2154665;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.36 GB
BV2154666;BV2154666;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
BV2154667;BV2154667;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.00 GB
BV2154682;BV2154682;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.02 GB
bv2154684;bv2154684;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.99 GB
BV2154685;BV2154685;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.98 GB
BV2154687;BV2154687;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
BV2154688;BV2154688;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.25 GB
BV2154690;BV2154690;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.25 GB
BV2154693;BV2154693;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
BV2154694;BV2154694;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;N/A;931.24 GB
BV2154695;BV2154695;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;476.83 GB
BV2154696;BV2154696;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;935.63 GB
BV2154697;BV2154697;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
BV2154698;BV2154698;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.36 GB
BV2154700;BV2154700;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.65 GB
BV2154701;BV2154701;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.25 GB
BV2154704;BV2154704;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;465.64 GB
BV2154706;BV2154706;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.25 GB
BV2154707;BV2154707;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;1861.01 GB
BV2154708;BV2154708;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.45 GB
BV2154709;BV2154709;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.45 GB
BV2154710;BV2154710;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.36 GB
BV2154713;BV2154713;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.36 GB
BV2154714;BV2154714;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
BV2154716;BV2154716;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.36 GB
BV2154717;BV2154717;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.10 GB
BV2154719;BV2154719;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.01 GB
BV2154720;BV2154720;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
bv2154722;bv2154722;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.36 GB
bv2154723;bv2154723;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
bv2154725;bv2154725;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
bv2154728;bv2154728;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
BV2154729;BV2154729;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.36 GB
BV2154732;BV2154732;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.10 GB
bv2154733;bv2154733;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.00 GB
BV2154734;BV2154734;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.45 GB
BV2154735;BV2154735;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;222.86 GB
BV2154739;BV2154739;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.62 GB
BV2154741;BV2154741;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV2154742;BV2154742;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.10 GB
BV2154753;BV2154753;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;476.80 GB
bv2154755;bv2154755;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;931.26 GB
BV2154757;BV2154757;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.62 GB
bv2154758;bv2154758;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.27 GB
bv2154759;bv2154759;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;930.72 GB
bv2154760;bv2154760;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.27 GB
BV2154761;BV2154761;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.35 GB
BV2154766;BV2154766;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.41 GB
BV2154768;BV2154768;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.24 GB
bv2154771;bv2154771;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;465.64 GB
bv2154788;bv2154788;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;465.63 GB
BV2154846;BV2154846;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;704.10 GB
BV2154866;BV2154866;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.97 GB
BV2154868;BV2154868;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
BV2155542;BV2155542;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
BV2155597;BV2155597;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;476.81 GB
bv2155598;bv2155598;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;223.44 GB
bv2155599;bv2155599;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;931.25 GB
bv2155600;bv2155600;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.34 GB
BV2155601;BV2155601;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
BV2155602;BV2155602;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;447.00 GB
BV2155603;BV2155603;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;237.79 GB
bv2155604;bv2155604;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;222.94 GB
BV2155605;BV2155605;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.96 GB
BV2155606;BV2155606;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.82 GB
BV2155608;BV2155608;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;703.66 GB
BV2155609;BV2155609;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;447.00 GB
bv2155610;bv2155610;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;703.96 GB
BV2155611;BV2155611;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;223.45 GB
bv2155697;bv2155697;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.39 GB
BV2155788;BV2155788;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;476.16 GB
bv2155834;bv2155834;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;465.64 GB
bv2155837;bv2155837;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.26 GB
BV2155838;BV2155838;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;238.36 GB
bv2155839;bv2155839;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.23 GB
bv2155840;bv2155840;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.23 GB
bv2155841;bv2155841;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;931.23 GB
bv2155842;bv2155842;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;465.61 GB
bv2157671;bv2157671;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;476.81 GB
bv2157715;bv2157715;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;476.83 GB
bv2157963;bv2157963;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV2158086;BV2158086;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;1397.16 GB
BV2158087;BV2158087;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;1397.15 GB
BV2158088;BV2158088;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;465.65 GB
BV2158089;BV2158089;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;465.65 GB
BV2158090;BV2158090;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;3260.17 GB
BV2158128;BV2158128;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;465.70 GB
BV2158129;BV2158129;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;2327.32 GB
bv2158130;bv2158130;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;465.70 GB
BV2158131;BV2158131;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;465.70 GB
bv2158132;bv2158132;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;465.71 GB
BV2158217;BV2158217;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;4.0 GB;1164.26 GB
bv2158218;bv2158218;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;2095.67 GB
bv2158219;bv2158219;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;1164.27 GB
bv2158220;bv2158220;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;N/A;1164.28 GB
bv2158589;bv2158589;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;64.0 GB;476.82 GB
bv2158617;bv2158617;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV2158621;BV2158621;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;8.0 GB;238.36 GB
BV2160156;BV2160156;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;N/A;1408.41 GB
BV2160157;BV2160157;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;N/A;476.91 GB
BV2160158;BV2160158;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160159;BV2160159;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160161;BV2160161;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160162;BV2160162;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160164;BV2160164;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;N/A;476.91 GB
BV2160165;BV2160165;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;491.44 GB
BV2160166;BV2160166;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;N/A;476.91 GB
BV2160167;BV2160167;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160168;BV2160168;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160169;BV2160169;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160170;BV2160170;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160171;BV2160171;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160172;BV2160172;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160173;BV2160173;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160174;BV2160174;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160175;BV2160175;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160176;BV2160176;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160177;BV2160177;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160178;BV2160178;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160179;BV2160179;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160180;BV2160180;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160182;BV2160182;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160183;BV2160183;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160184;BV2160184;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160185;BV2160185;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160186;bv2160186;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160187;bv2160187;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160188;BV2160188;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;N/A;476.91 GB
bv2160195;bv2160195;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160400;BV2160400;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;476.91 GB
BV2160401;BV2160401;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;476.91 GB
BV2160402;BV2160402;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;476.91 GB
bv2160403;bv2160403;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;476.91 GB
BV2160404;BV2160404;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;476.91 GB
bv2160406;bv2160406;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;476.91 GB
bv2160407;bv2160407;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;1408.42 GB
BV2160408;BV2160408;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;476.91 GB
BV2160409;BV2160409;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;476.91 GB
BV2160423;BV2160423;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;476.91 GB
bv2160428;bv2160428;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;476.91 GB
BV2160429;BV2160429;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;476.91 GB
BV2160432;BV2160432;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;476.91 GB
BV2160433;BV2160433;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;2339.80 GB
bv2160434;bv2160434;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;476.91 GB
bv2160435;bv2160435;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;476.91 GB
bv2160436;bv2160436;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;476.91 GB
BV2160437;BV2160437;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;32.0 GB;476.91 GB
BV2160479;BV2160479;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;N/A;476.91 GB
BV2160480;BV2160480;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;953.73 GB
BV2160506;BV2160506;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
BV2160508;BV2160508;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;N/A;476.91 GB
BV2160511;BV2160511;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160514;bv2160514;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160586;bv2160586;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160587;bv2160587;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160588;bv2160588;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160589;bv2160589;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160590;bv2160590;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
bv2160591;bv2160591;Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz;16.0 GB;476.91 GB
